Duty nr.,Activity
1798,120
1798,121
1798,122
1798,123
1798,124
1798,125
1702,1101
1702,1102
1702,1103
1702,1104
1702,1105
1823,853
1823,854
1823,855
1823,856
1823,857
1823,858
1801,1215
1801,1216
1801,1217
1801,1218
1801,1219
1801,1220
1801,1221
1814,842
1814,843
1814,844
1814,845
1814,846
1814,847
1814,848
1814,849
1814,850
1814,851
1814,852
1839,1110
1839,1111
1839,1112
1839,1113
1818,394
1818,395
1818,396
1818,397
1818,398
1818,399
1781,831
1781,832
1781,833
1781,834
1781,835
1781,836
1781,837
1781,838
1781,839
1781,840
1781,841
2033,400
2033,401
2033,402
2033,403
2033,404
2033,405
1689,494
1689,495
1689,496
1689,497
1689,498
1689,499
1689,500
1689,501
1763,825
1763,826
1763,827
1763,828
1763,829
1763,830
1765,1114
1765,1115
1765,1116
1765,1117
1833,859
1833,860
1833,861
1833,862
1833,863
1833,864
1833,865
1860,406
1860,407
1860,408
1860,409
1860,410
2032,1306
2032,1307
2032,1308
2032,1309
2032,1310
1735,390
1735,391
1735,392
1735,393
1843,439
1843,440
1843,441
1843,442
1843,443
1843,444
1843,445
89903,1232
89903,1233
89903,1234
89903,1235
89903,1236
89903,1237
89902,1226
89902,1227
89902,1228
89902,1229
89902,1230
89902,1231
89904,1238
89904,1239
89904,1240
89904,1241
89904,1242
1644,1106
1644,1107
1665,1108
1665,1109
227,871
227,872
227,1137
50,11
50,12
50,13
50,14
50,570
50,30
50,40
432,273
432,274
432,917
432,918
432,968
432,1023
432,1201
432,781
432,782
619,477
619,478
619,487
619,1204
619,364
619,1213
695,1082
695,324
695,325
695,382
695,1058
728,790
728,791
728,792
728,793
728,794
728,795
728,796
728,797
728,305
728,785
728,786
728,824
349,902
349,903
349,1035
349,1036
458,1020
458,1021
458,321
458,103
458,1030
458,1031
458,1032
458,1033
166,528
166,568
166,569
166,622
166,1179
166,455
312,937
312,920
312,962
312,995
312,996
611,348
611,349
611,780
611,816
611,817
611,818
611,798
611,799
611,326
611,327
611,375
98,504
98,594
98,542
98,543
98,468
436,945
436,244
436,245
436,246
436,721
436,1016
436,1015
436,1207
436,1090
436,819
547,302
547,486
547,787
547,1037
547,1208
547,1209
718,1206
718,666
718,788
718,789
718,1214
593,710
593,1022
593,1055
593,1019
593,733
593,320
593,347
485,991
485,247
485,248
485,735
485,958
485,1185
485,1186
485,1187
485,663
485,682
485,683
485,684
485,685
485,686
485,687
485,688
485,1196
485,1197
485,1198
163,584
163,585
163,586
163,587
163,588
163,631
163,1275
163,1276
163,1277
163,617
163,618
331,644
331,645
331,646
331,876
331,1001
331,357
615,743
615,744
615,745
615,1078
615,488
615,1085
321,35
321,36
321,613
321,886
321,990
656,303
656,806
656,807
656,424
656,425
656,761
656,762
392,982
392,983
392,984
392,985
392,986
392,987
392,988
392,989
624,758
624,759
624,760
624,291
624,433
624,434
624,813
624,814
3,502
3,503
3,536
3,537
3,547
3,548
3,549
3,241
342,39
342,181
342,182
342,183
342,220
342,221
342,222
342,223
342,271
342,328
342,329
342,66
476,1005
476,959
476,1089
476,1038
476,1039
554,64
554,65
554,764
554,765
554,766
554,767
554,768
554,769
554,107
554,108
554,387
641,230
641,423
641,366
641,367
641,304
641,701
641,1057
641,351
641,352
641,353
641,354
641,355
641,356
100,883
100,884
100,185
100,225
100,226
100,890
100,891
689,322
689,278
689,310
689,311
689,312
529,1188
529,1189
529,1190
529,1191
529,1192
529,1193
529,1194
529,1195
529,1007
529,1098
577,947
577,948
577,1076
577,746
577,747
577,748
577,383
751,316
751,317
751,318
751,319
751,117
751,118
751,119
657,283
657,284
657,430
657,101
657,71
657,102
657,741
657,742
657,365
409,62
409,63
409,421
409,422
409,287
409,288
409,289
409,237
409,67
409,68
409,69
409,70
740,76
740,77
740,323
740,437
740,388
740,389
687,371
687,372
687,373
687,374
687,435
687,438
179,900
179,1123
179,894
179,970
179,882
179,1010
179,1011
713,975
713,976
713,1092
713,1093
713,1088
713,1081
713,1205
594,80
594,655
594,656
594,657
594,658
594,272
594,377
594,969
594,1094
594,1095
594,333
193,189
193,190
193,213
193,915
193,916
193,705
193,706
193,707
193,708
329,186
329,17
329,18
329,187
329,188
329,43
329,314
329,315
329,100
555,92
555,93
555,94
555,95
555,755
555,97
555,98
555,109
675,665
675,1072
675,1073
675,1074
675,1075
752,1303
752,1297
752,1298
752,1299
752,1300
752,1301
540,953
540,1086
540,1079
540,740
540,105
540,783
540,784
610,1286
610,1287
610,1279
610,1280
610,376
610,711
610,1304
610,1302
679,1272
679,1273
679,1274
679,1288
679,730
679,731
679,732
679,1091
679,778
679,779
501,1278
501,1292
501,1293
501,1294
501,1295
501,1296
501,712
501,713
501,714
501,715
501,381
501,1210
501,1211
501,1212
729,954
729,1077
729,1051
729,1066
729,1067
686,1048
686,1049
686,268
686,331
686,1080
686,1045
263,609
263,892
263,538
263,539
263,881
263,971
263,972
263,973
754,1250
754,1251
754,1252
754,1063
754,332
658,681
658,694
658,695
658,696
658,697
658,698
658,699
658,700
658,756
658,757
658,763
572,58
572,110
572,269
290,933
290,469
290,908
290,951
290,1034
114,146
114,147
114,148
114,149
114,150
114,560
114,202
114,203
114,42
442,285
442,428
442,429
442,276
442,277
442,60
442,82
442,83
442,300
190,184
190,630
190,603
190,604
190,612
190,450
190,479
190,480
190,709
410,1149
410,965
410,1059
410,1060
410,1061
410,1062
410,379
186,1160
186,1161
186,1162
186,1163
186,1164
186,1165
186,919
186,1132
186,1158
186,1159
574,1012
574,966
574,967
574,1014
574,960
574,961
574,1096
574,1097
574,1052
574,1053
313,611
313,1143
313,1144
313,647
313,1176
313,625
313,626
313,627
313,628
313,629
313,649
313,734
364,977
364,978
364,979
364,980
364,981
66,873
66,887
66,888
66,889
66,906
66,907
483,85
483,86
483,264
483,265
483,266
483,267
483,88
483,89
483,90
587,253
587,254
587,345
587,808
587,809
587,810
587,771
587,772
755,104
755,1083
755,1084
755,811
755,812
431,467
431,485
431,661
431,662
431,1006
431,378
431,774
431,775
431,776
431,777
431,1064
475,692
475,693
475,716
475,717
475,718
475,719
475,720
475,369
467,942
467,1068
467,773
467,1087
467,1100
207,904
207,905
207,151
207,172
207,924
107,137
107,138
107,415
107,416
107,214
107,909
107,910
107,37
30,451
30,452
30,453
30,901
30,454
459,307
459,946
459,308
459,309
459,59
459,279
459,280
459,281
276,164
276,165
276,224
276,417
276,158
276,159
276,208
276,209
276,210
276,211
276,212
651,738
651,1041
651,1042
651,1044
651,820
651,821
651,822
651,823
737,338
737,339
737,116
737,380
737,800
737,801
737,802
737,803
737,804
737,805
737,815
602,50
602,51
602,99
602,106
602,770
602,113
602,114
185,874
185,875
185,934
185,935
185,936
280,921
280,922
280,215
280,572
280,931
280,932
280,1046
280,1047
330,1258
330,571
330,153
330,154
330,155
330,461
330,462
330,256
627,81
627,115
627,340
627,341
627,342
291,218
291,513
291,1270
291,1271
291,275
291,343
291,344
226,139
226,140
226,29
226,26
226,31
226,72
226,78
226,79
381,470
381,654
381,1002
381,1003
381,1043
277,200
277,201
277,135
277,1261
277,1283
277,282
424,555
424,556
424,667
424,668
424,669
424,670
424,671
424,702
424,703
424,704
535,963
535,964
535,1069
535,1070
535,1071
149,132
149,133
149,134
149,544
149,1264
149,606
149,607
149,608
149,639
507,640
507,641
507,749
507,750
507,751
507,752
507,753
507,754
507,290
507,432
575,1009
575,111
575,112
575,1024
575,1025
262,32
262,33
262,34
262,22
262,192
262,193
262,449
262,173
262,426
262,427
262,313
739,384
739,431
739,1285
739,362
739,363
739,370
739,436
157,174
157,175
157,176
157,171
157,261
157,262
157,263
42,412
42,413
42,170
42,177
42,178
42,179
42,180
42,52
83,131
83,414
83,198
83,199
83,15
83,16
83,130
162,561
162,562
162,563
162,564
162,565
162,566
162,559
162,136
162,418
162,419
162,420
162,301
385,41
385,286
385,481
385,482
385,483
385,484
385,330
385,385
385,386
296,1262
296,1269
296,1281
296,1282
296,1268
51,526
51,527
51,600
51,601
51,602
51,1263
51,590
51,1148
450,664
450,1054
450,1199
450,1200
450,368
450,350
642,1013
642,952
642,1017
642,1018
642,1056
642,1065
545,650
545,651
545,652
545,358
545,1202
545,1203
72,877
72,878
72,879
72,610
72,1145
72,897
72,898
72,899
113,611
113,642
113,643
113,1222
113,1223
113,1224
113,1225
434,1004
434,1008
434,997
434,998
434,1284
434,96
434,1050
434,994
591,472
591,489
591,490
591,491
591,492
591,493
265,463
265,464
265,465
265,473
265,1180
265,1181
265,471
43,520
43,521
43,522
43,523
43,524
43,525
43,53
43,54
43,55
608,257
608,258
608,259
608,260
608,87
608,993
608,1289
608,1290
608,1291
608,1305
358,466
358,950
358,1028
358,1029
358,359
358,360
358,361
294,635
294,636
294,637
294,638
294,552
294,553
294,615
294,56
294,57
294,334
294,335
294,336
294,337
294,974
457,925
457,926
457,1040
457,992
457,999
457,1000
457,1099
462,674
462,675
462,676
462,677
462,678
462,679
462,680
462,722
462,723
462,724
462,739
462,672
201,1256
201,1257
201,589
201,238
201,239
201,240
201,1173
201,1174
201,1175
201,554
201,1265
201,1266
201,1267
141,1139
141,1140
141,866
141,896
141,1182
141,474
141,475
141,476
133,545
133,546
133,927
133,928
133,893
133,955
133,956
133,957
79,1125
79,1126
79,1127
264,913
264,1259
264,1260
264,911
264,912
264,1026
264,1027
258,1155
258,1156
258,1157
258,659
258,660
258,1183
258,1184
176,19
176,27
176,28
176,44
176,45
176,46
176,227
176,38
176,84
289,597
289,598
289,249
289,250
289,1254
289,1255
289,632
289,633
289,634
289,736
289,737
22,1
22,2
22,3
22,4
22,5
22,166
22,459
22,7
22,8
22,9
22,10
22,61
52,510
52,511
52,512
52,1135
52,1136
52,880
52,1124
52,540
164,1153
164,1154
164,1170
164,1171
164,885
164,914
164,1138
8,508
8,509
8,541
8,505
8,506
8,507
8,929
8,614
118,163
118,204
118,949
118,47
118,292
118,293
108,1128
108,1129
108,1151
108,1152
108,944
108,930
108,1146
108,1147
108,591
108,592
108,593
108,673
279,205
279,206
279,207
279,216
279,217
279,73
279,74
279,75
40,514
40,515
40,516
40,517
40,518
40,519
40,623
40,624
236,456
236,457
236,458
236,194
236,156
236,157
236,270
236,252
242,128
242,605
242,233
242,234
242,160
242,161
242,162
242,228
242,229
225,20
225,21
225,231
225,219
225,195
225,196
225,197
225,235
225,91
87,446
87,447
87,448
496,294
496,295
496,296
496,297
496,298
496,299
496,346
496,306
4,1118
4,1119
4,1120
4,1121
4,1134
4,1122
4,1178
4,575
4,576
4,577
4,578
4,579
4,580
4,581
4,582
240,1133
240,619
240,620
240,1172
240,531
240,532
240,533
240,1167
240,1168
240,583
240,689
240,690
240,691
267,595
267,596
267,621
267,1166
267,534
267,535
267,648
19,126
19,557
19,558
19,191
19,167
19,168
19,599
19,567
19,169
19,460
140,127
140,1141
140,1253
140,6
140,152
140,23
140,24
140,25
140,251
140,255
140,653
128,1150
128,1177
128,1130
128,1131
128,939
128,940
128,242
128,243
128,616
128,941
21,867
21,868
21,869
21,870
21,895
21,943
21,938
198,1169
198,573
198,574
198,529
198,530
198,232
198,550
198,551
198,923
511,1243
511,1244
511,1245
511,1246
511,725
511,726
511,727
511,728
511,729
511,1247
511,1248
511,1249
288,129
288,141
288,142
288,143
288,144
288,145
288,48
288,49
288,236
