Location,Depot regular drivers,Depot station drivers,Break location,AB,AR,ES,FA,KH,OD,STR,TE
AB,0,0,0,1,1,0,0,0,0,0,0
ABmod,1,1,1,0,0,0,0,0,0,0,0
ABstp,0,0,1,0,0,0,0,0,0,0,0
ABp,0,0,0,1,1,0,0,0,0,0,0
AR,0,0,0,1,1,1,1,1,0,0,1
ARkg,0,0,1,0,0,0,0,0,0,0,0
ARmod,1,1,1,0,0,0,0,0,0,0,0
ARp,0,0,0,1,1,1,1,0,0,0,0
CPHkak,0,0,0,0,0,0,1,1,1,0,0
CPHstp,0,0,1,0,0,0,0,0,0,0,0
ES,0,0,0,0,1,1,1,1,1,0,0
ESmod,1,1,1,0,0,0,0,0,0,0,0
ESp,0,0,0,0,1,1,1,0,1,0,0
FA,0,0,0,1,1,1,1,1,1,1,1
FAkg,0,0,1,0,0,0,0,0,0,0,0
FAmod,1,1,1,0,0,0,0,0,0,0,0
FAp,0,0,0,0,1,1,1,0,1,1,1
HGL,0,0,0,0,0,0,0,1,0,0,0
HGLstp,0,0,1,0,0,0,0,0,0,0,0
KD,0,0,0,0,1,1,1,1,1,0,1
KDstp,0,0,1,0,0,0,0,0,0,0,0
KH,0,0,0,0,1,1,1,1,1,0,0
KHmod,1,0,1,0,0,0,0,0,0,0,0
KK,0,0,0,0,0,0,0,1,0,0,0
KKn,0,0,0,0,0,0,0,1,0,0,0
KKokk,0,0,1,0,0,0,0,0,0,0,0
OD,0,0,0,0,1,1,1,1,1,0,1
ODmod,1,1,1,0,0,0,0,0,0,0,0
ODp,0,0,0,0,0,0,1,0,1,0,0
PA,0,0,0,0,1,0,0,1,0,0,1
PAstp,0,0,1,0,0,0,0,0,0,0,0
SDB,0,0,0,0,0,0,1,0,0,0,1
SDBstp,0,0,1,0,0,0,0,0,0,0,0
STR,0,0,0,0,0,0,1,0,0,1,0
STRmod,1,1,1,0,0,0,0,0,0,0,0
TE,0,0,0,0,1,0,1,1,1,0,1
TEmod,1,0,1,0,0,0,0,0,0,0,0
VJ,0,0,0,1,1,1,1,1,0,1,1
VJpau,0,0,1,0,0,0,0,0,0,0,0
