Column1,Column2,Start station,End station,Day,DayEND,Train number
290,368,AB,AR,4,4,14
350,428,AB,AR,3,3,18
410,488,AB,AR,3,3,22
470,548,AB,AR,3,3,26
530,608,AB,AR,3,3,30
590,668,AB,AR,3,3,34
650,728,AB,AR,3,3,38
710,788,AB,AR,3,3,42
770,848,AB,AR,3,3,46
770,908,AB,AR,3,3,50
890,968,AB,AR,3,3,54
950,1028,AB,AR,3,3,58
1010,1088,AB,AR,3,3,62
1070,1148,AB,AR,3,3,66
1130,1208,AB,AR,3,3,70
1190,1268,AB,AR,3,3,74
305,398,AB,AR,3,3,116
365,458,AB,AR,3,3,118
425,518,AB,AR,3,3,124
485,578,AB,AR,3,3,126
545,638,AB,AR,3,3,132
605,698,AB,AR,3,3,134
665,758,AB,AR,3,3,140
725,818,AB,AR,3,3,142
785,878,AB,AR,3,3,148
845,938,AB,AR,3,3,150
905,998,AB,AR,3,3,156
965,1058,AB,AR,3,3,160
1025,1118,AB,AR,3,3,164
1085,1178,AB,AR,3,3,168
1265,1358,AB,AR,3,3,180
1325,1418,AB,AR,3,3,184
5,98,AB,AR,4,4,192
1145,1238,AB,AR,3,3,472
1205,1298,AB,AR,3,3,476
1385,38,AB,AR,3,4,488
349,426,AR,AB,3,3,7
409,486,AR,AB,3,3,11
470,546,AR,AB,3,3,15
530,606,AR,AB,3,3,19
590,666,AR,AB,3,3,23
650,726,AR,AB,3,3,27
710,786,AR,AB,3,3,31
770,846,AR,AB,3,3,35
830,906,AR,AB,3,3,39
890,966,AR,AB,3,3,43
950,1026,AR,AB,3,3,47
1010,1086,AR,AB,3,3,51
1070,1146,AR,AB,3,3,55
1130,1206,AR,AB,3,3,59
1190,1266,AR,AB,3,3,63
1250,1326,AR,AB,3,3,67
260,351,AR,AB,4,4,101
320,411,AR,AB,3,3,105
380,471,AR,AB,3,3,109
440,531,AR,AB,3,3,113
500,591,AR,AB,3,3,117
560,651,AR,AB,3,3,123
620,711,AR,AB,3,3,125
680,771,AR,AB,3,3,131
740,831,AR,AB,3,3,133
800,891,AR,AB,3,3,139
860,951,AR,AB,3,3,141
920,1011,AR,AB,3,3,147
980,1071,AR,AB,3,3,149
1040,1131,AR,AB,3,3,155
1100,1191,AR,AB,3,3,157
1160,1251,AR,AB,3,3,163
1220,1311,AR,AB,3,3,165
1280,1371,AR,AB,3,3,171
1340,1431,AR,AB,3,3,173
1405,56,AR,AB,3,4,177
255,317,AR,FA,3,3,6
315,377,AR,FA,4,4,10
435,497,AR,FA,3,3,18
495,557,AR,FA,3,3,22
555,617,AR,FA,3,3,26
615,677,AR,FA,3,3,30
675,737,AR,FA,3,3,34
735,797,AR,FA,3,3,38
795,857,AR,FA,3,3,42
855,917,AR,FA,3,3,46
915,977,AR,FA,3,3,50
975,1037,AR,FA,3,3,54
1035,1097,AR,FA,3,3,58
1095,1157,AR,FA,3,3,62
1155,1217,AR,FA,3,3,66
1215,1277,AR,FA,3,3,70
465,525,AR,FA,3,3,118
525,585,AR,FA,3,3,124
585,645,AR,FA,3,3,126
705,765,AR,FA,3,3,134
765,825,AR,FA,3,3,140
825,885,AR,FA,3,3,142
885,945,AR,FA,3,3,148
945,1005,AR,FA,3,3,150
1005,1065,AR,FA,3,3,156
1065,1125,AR,FA,3,3,160
1125,1185,AR,FA,3,3,164
1185,1245,AR,FA,3,3,168
1365,1425,AR,FA,3,3,180
355,410,AR,FA,3,3,312
415,470,AR,FA,3,3,316
835,890,AR,FA,3,3,344
955,1010,AR,FA,3,3,352
579,640,AR,FA,3,3,383
819,880,AR,FA,3,3,385
1245,1305,AR,FA,3,3,472
1305,1365,AR,FA,3,3,476
45,105,AR,FA,4,4,488
448,518,AR,FA,3,3,2920
868,938,AR,FA,3,3,2948
926,996,AR,FA,3,3,2952
988,1058,AR,FA,3,3,2956
358,428,AR,FA,3,3,3314
418,488,AR,FA,3,3,3318
478,548,AR,FA,3,3,3322
538,608,AR,FA,3,3,3326
598,668,AR,FA,3,3,3330
658,728,AR,FA,3,3,3334
718,788,AR,FA,3,3,3338
778,848,AR,FA,3,3,3342
838,908,AR,FA,3,3,3346
898,968,AR,FA,3,3,3350
958,1028,AR,FA,3,3,3354
1018,1088,AR,FA,3,3,3358
1078,1148,AR,FA,3,3,3362
1138,1208,AR,FA,3,3,3366
1198,1268,AR,FA,3,3,3370
1258,1328,AR,FA,3,3,3372
1318,1388,AR,FA,3,3,3378
1425,56,AR,FA,3,4,3386
339,400,AR,FA,3,3,5753
1059,1120,AR,FA,3,3,5765
375,420,AR,VJ,3,3,14
645,689,AR,VJ,3,3,132
317,341,CPHkak,KH,4,4,19
377,401,CPHkak,KH,3,3,23
437,461,CPHkak,KH,3,3,27
497,521,CPHkak,KH,3,3,31
557,581,CPHkak,KH,3,3,35
617,641,CPHkak,KH,3,3,39
677,701,CPHkak,KH,3,3,43
737,761,CPHkak,KH,3,3,47
797,821,CPHkak,KH,3,3,51
857,881,CPHkak,KH,3,3,55
917,941,CPHkak,KH,3,3,59
977,1001,CPHkak,KH,3,3,63
1037,1061,CPHkak,KH,3,3,67
1097,1121,CPHkak,KH,3,3,71
1157,1181,CPHkak,KH,3,3,75
1217,1241,CPHkak,KH,3,3,79
353,377,CPHkak,KH,3,3,321
713,737,CPHkak,KH,3,3,345
833,857,CPHkak,KH,3,3,353
953,977,CPHkak,KH,3,3,361
29,53,CPHkak,KH,4,4,403
125,152,CPHkak,KH,4,4,409
269,293,CPHkak,KH,4,4,417
1289,1313,CPHkak,KH,3,3,485
1349,1373,CPHkak,KH,3,3,489
1409,1433,CPHkak,KH,3,3,491
161,185,CPHkak,KH,4,4,9300
582,603,CPHkak,KH,3,3,9316
595,619,CPHkak,KH,3,3,9318
1161,1185,CPHkak,KH,3,3,9354
1175,1199,CPHkak,KH,3,3,9356
1236,1257,CPHkak,KH,3,3,9362
1257,1281,CPHkak,KH,3,3,9364
198,222,CPHkak,KH,4,4,9386
341,406,ES,FA,3,3,3315
401,466,ES,FA,3,3,3319
461,526,ES,FA,3,3,3323
521,586,ES,FA,3,3,3327
581,646,ES,FA,3,3,3331
641,706,ES,FA,3,3,3335
701,766,ES,FA,3,3,3339
761,826,ES,FA,3,3,3343
821,886,ES,FA,3,3,3347
881,946,ES,FA,3,3,3351
941,1006,ES,FA,3,3,3355
1001,1066,ES,FA,3,3,3359
1061,1126,ES,FA,3,3,3363
1121,1186,ES,FA,3,3,3367
1181,1246,ES,FA,3,3,3371
1241,1308,ES,FA,3,3,3375
1301,1368,ES,FA,3,3,3379
1361,1428,ES,FA,3,3,3383
1421,48,ES,FA,3,4,3387
327,408,ES,OD,3,3,810
387,468,ES,OD,3,3,814
447,528,ES,OD,3,3,818
507,588,ES,OD,3,3,822
567,648,ES,OD,3,3,826
627,708,ES,OD,3,3,830
687,768,ES,OD,3,3,834
747,828,ES,OD,3,3,838
807,888,ES,OD,3,3,842
867,948,ES,OD,3,3,846
927,1008,ES,OD,3,3,850
987,1068,ES,OD,3,3,854
1047,1128,ES,OD,3,3,858
1107,1188,ES,OD,3,3,862
1167,1248,ES,OD,3,3,866
1227,1308,ES,OD,3,3,870
403,462,FA,AR,3,3,15
463,522,FA,AR,3,3,19
523,582,FA,AR,3,3,23
583,642,FA,AR,3,3,27
643,702,FA,AR,3,3,31
703,762,FA,AR,3,3,35
763,822,FA,AR,3,3,39
823,882,FA,AR,3,3,43
883,942,FA,AR,3,3,47
943,1002,FA,AR,3,3,51
1003,1062,FA,AR,3,3,55
1063,1122,FA,AR,3,3,59
1123,1182,FA,AR,3,3,63
1183,1242,FA,AR,3,3,67
1243,1302,FA,AR,3,3,71
373,432,FA,AR,3,3,113
433,492,FA,AR,3,3,117
553,612,FA,AR,3,3,125
613,672,FA,AR,3,3,131
673,732,FA,AR,3,3,133
733,792,FA,AR,3,3,139
