Start time,End time,Start station,End station,Day,Endday,Train number
255,317,AR,FA,3,3,6
255,350,AR,OD,3,3,6
255,423,AR,KH,3,3,6
255,455,AR,CPHkak,3,3,6
323,350,FA,OD,3,3,6
323,423,FA,KH,3,3,6
323,455,FA,CPHkak,3,3,6
353,423,OD,KH,3,3,6
353,455,OD,CPHkak,3,3,6
432,455,KH,CPHkak,3,3,6
349,426,AR,AB,3,3,7
315,377,AR,FA,4,4,10
383,410,FA,OD,3,3,10
383,483,FA,KH,3,3,10
383,515,FA,CPHkak,3,3,10
413,483,OD,KH,3,3,10
413,515,OD,CPHkak,3,3,10
492,515,KH,CPHkak,3,3,10
409,486,AR,AB,3,3,11
313,343,OD,FA,4,4,11
350,486,FA,AB,3,3,11
350,407,FA,TE,3,3,11
350,442,FA,SDB,3,3,11
409,442,TE,SDB,3,3,11
290,368,AB,AR,4,4,14
375,420,AR,VJ,3,3,14
375,437,AR,FA,3,3,14
375,470,AR,OD,3,3,14
375,543,AR,KH,3,3,14
375,575,AR,CPHkak,3,3,14
422,437,VJ,FA,3,3,14
422,470,VJ,OD,3,3,14
422,543,VJ,KH,3,3,14
422,575,VJ,CPHkak,3,3,14
443,470,FA,OD,3,3,14
443,543,FA,KH,3,3,14
443,575,FA,CPHkak,3,3,14
473,543,OD,KH,3,3,14
473,575,OD,CPHkak,3,3,14
552,575,KH,CPHkak,3,3,14
335,368,SDB,TE,4,4,14
370,470,TE,OD,3,3,14
370,543,TE,KH,3,3,14
370,575,TE,CPHkak,3,3,14
370,427,TE,FA,3,3,14
370,398,OD,FA,3,3,15
370,462,OD,AR,3,3,15
370,546,OD,AB,3,3,15
403,462,FA,AR,3,3,15
403,546,FA,AB,3,3,15
470,546,AR,AB,3,3,15
350,428,AB,AR,3,3,18
350,497,AB,FA,3,3,18
350,530,AB,OD,3,3,18
350,603,AB,KH,3,3,18
350,635,AB,CPHkak,3,3,18
435,497,AR,FA,3,3,18
435,530,AR,OD,3,3,18
435,603,AR,KH,3,3,18
435,635,AR,CPHkak,3,3,18
503,530,FA,OD,3,3,18
503,603,FA,KH,3,3,18
503,635,FA,CPHkak,3,3,18
533,603,OD,KH,3,3,18
533,635,OD,CPHkak,3,3,18
612,635,KH,CPHkak,3,3,18
317,341,CPHkak,KH,4,4,19
356,427,KH,OD,3,3,19
356,458,KH,FA,3,3,19
356,522,KH,AR,3,3,19
356,606,KH,AB,3,3,19
356,527,KH,TE,3,3,19
356,562,KH,SDB,3,3,19
430,458,OD,FA,3,3,19
430,522,OD,AR,3,3,19
430,606,OD,AB,3,3,19
430,527,OD,TE,3,3,19
430,562,OD,SDB,3,3,19
463,522,FA,AR,3,3,19
463,606,FA,AB,3,3,19
530,606,AR,AB,3,3,19
470,527,FA,TE,3,3,19
470,562,FA,SDB,3,3,19
529,562,TE,SDB,3,3,19
410,488,AB,AR,3,3,22
410,557,AB,FA,3,3,22
410,590,AB,OD,3,3,22
410,663,AB,KH,3,3,22
410,695,AB,CPHkak,3,3,22
495,557,AR,FA,3,3,22
495,590,AR,OD,3,3,22
495,663,AR,KH,3,3,22
495,695,AR,CPHkak,3,3,22
563,590,FA,OD,3,3,22
563,663,FA,KH,3,3,22
563,695,FA,CPHkak,3,3,22
593,663,OD,KH,3,3,22
593,695,OD,CPHkak,3,3,22
672,695,KH,CPHkak,3,3,22
455,590,SDB,OD,3,3,22
455,663,SDB,KH,3,3,22
455,695,SDB,CPHkak,3,3,22
455,488,SDB,TE,3,3,22
455,547,SDB,FA,3,3,22
490,590,TE,OD,3,3,22
490,663,TE,KH,3,3,22
490,695,TE,CPHkak,3,3,22
490,547,TE,FA,3,3,22
377,401,CPHkak,KH,3,3,23
377,487,CPHkak,OD,3,3,23
377,518,CPHkak,FA,3,3,23
377,582,CPHkak,AR,3,3,23
377,541,CPHkak,VJ,3,3,23
377,647,CPHkak,STR,3,3,23
377,666,CPHkak,AB,3,3,23
416,487,KH,OD,3,3,23
416,518,KH,FA,3,3,23
416,582,KH,AR,3,3,23
416,541,KH,VJ,3,3,23
416,647,KH,STR,3,3,23
416,666,KH,AB,3,3,23
490,518,OD,FA,3,3,23
490,582,OD,AR,3,3,23
490,541,OD,VJ,3,3,23
490,647,OD,STR,3,3,23
490,666,OD,AB,3,3,23
523,582,FA,AR,3,3,23
523,541,FA,VJ,3,3,23
523,647,FA,STR,3,3,23
523,666,FA,AB,3,3,23
526,541,FA,VJ,3,3,23
526,647,FA,STR,3,3,23
526,666,FA,AB,3,3,23
543,647,VJ,STR,3,3,23
543,666,VJ,AB,3,3,23
590,666,AR,AB,3,3,23
470,548,AB,AR,3,3,26
470,596,AB,VJ,3,3,26
470,617,AB,FA,3,3,26
470,613,AB,FA,3,3,26
470,650,AB,OD,3,3,26
470,723,AB,KH,3,3,26
470,755,AB,CPHkak,3,3,26
484,596,STR,VJ,3,3,26
484,617,STR,FA,3,3,26
484,613,STR,FA,3,3,26
484,650,STR,OD,3,3,26
484,723,STR,KH,3,3,26
484,755,STR,CPHkak,3,3,26
555,617,AR,FA,3,3,26
555,613,AR,FA,3,3,26
555,650,AR,OD,3,3,26
555,723,AR,KH,3,3,26
555,755,AR,CPHkak,3,3,26
597,613,VJ,FA,3,3,26
597,650,VJ,OD,3,3,26
597,723,VJ,KH,3,3,26
597,755,VJ,CPHkak,3,3,26
623,650,FA,OD,3,3,26
623,723,FA,KH,3,3,26
623,755,FA,CPHkak,3,3,26
653,723,OD,KH,3,3,26
653,755,OD,CPHkak,3,3,26
732,755,KH,CPHkak,3,3,26
437,461,CPHkak,KH,3,3,27
437,547,CPHkak,OD,3,3,27
437,578,CPHkak,FA,3,3,27
437,642,CPHkak,AR,3,3,27
437,726,CPHkak,AB,3,3,27
437,647,CPHkak,TE,3,3,27
437,682,CPHkak,SDB,3,3,27
476,547,KH,OD,3,3,27
476,578,KH,FA,3,3,27
476,642,KH,AR,3,3,27
476,726,KH,AB,3,3,27
476,647,KH,TE,3,3,27
476,682,KH,SDB,3,3,27
550,578,OD,FA,3,3,27
550,642,OD,AR,3,3,27
550,726,OD,AB,3,3,27
550,647,OD,TE,3,3,27
550,682,OD,SDB,3,3,27
583,642,FA,AR,3,3,27
583,726,FA,AB,3,3,27
650,726,AR,AB,3,3,27
590,726,FA,AB,3,3,27
590,647,FA,TE,3,3,27
590,682,FA,SDB,3,3,27
649,682,TE,SDB,3,3,27
530,608,AB,AR,3,3,30
530,677,AB,FA,3,3,30
530,710,AB,OD,3,3,30
530,783,AB,KH,3,3,30
530,815,AB,CPHkak,3,3,30
615,677,AR,FA,3,3,30
615,710,AR,OD,3,3,30
615,783,AR,KH,3,3,30
615,815,AR,CPHkak,3,3,30
683,710,FA,OD,3,3,30
683,783,FA,KH,3,3,30
683,815,FA,CPHkak,3,3,30
713,783,OD,KH,3,3,30
